baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
0610010F05Rik	84.5205734259484	0.0165379642206921	0.125523898812906	0.131751518054279	0.895180835139908	0.986320705826517
0610010K14Rik	35.2909109602928	-0.353958539680313	0.183337587621919	-1.93063814284636	0.0535278174376125	0.635854513605532
0610030E20Rik	53.2861380517712	0.112144526084728	0.162357763663436	0.690724752265014	0.489738531218809	0.924657183123226
0610037L13Rik	56.5027653246957	-0.093781774403123	0.151706165191634	-0.618180377077351	0.536456443653132	0.930101956913962
1110002E22Rik	253.262402413623	-0.0235439952785598	0.10674296078342	-0.220567193431426	0.825429447778121	0.98172511425765
1110004F10Rik	149.372518561792	0.0848245744238688	0.118783039959474	0.71411351698701	0.475156988278201	0.923192485921911
1110008L16Rik	26.5019503451048	0.023526475979498	0.209016967144248	0.112557732996201	0.910381196205899	0.989186211680189
1110038F14Rik	75.0142016620442	-0.0565988257447081	0.148145668043528	-0.382048469537957	0.702425413058972	0.963146508043426
1110051M20Rik	38.6785034965773	-0.0205656195497723	0.190456715327264	-0.10798054305638	0.914011126346923	0.990359089663033
1110059E24Rik	31.401001137272	0.322330879671577	0.223263862779739	1.44372168275872	0.148817279694273	0.792361415497732
1190002N15Rik	91.3356578161393	0.086016988974586	0.139278330521117	0.617590609054179	0.536845236500466	0.930544067701118
1600012H06Rik	29.1554769240361	0.0305588338040781	0.197470368047953	0.154751490596591	0.877017235281557	0.985080790465492
1700017B05Rik	108.515926403481	-0.0910674219407455	0.123690184862906	-0.736254231018259	0.461575994277544	0.923192485921911
1700020I14Rik	138.233385735532	-0.125276116234922	0.109638899303727	-1.14262471650574	0.253194438927585	0.851192103757883
1700021F05Rik	82.6778830656092	0.130499762289215	0.172895976502725	0.754787733809171	0.450376354912352	0.923047097809868
1700037H04Rik	68.0564978539004	0.326454792756836	0.17410189485599	1.87507891873817	0.060781867281585	0.653688923840309
1700123O20Rik	45.2944110130111	0.0310540990812201	0.161733730232852	0.192007561048093	0.847736282764629	0.984585411302453
1810009A15Rik	31.4687348302181	0.2623916636869	0.273952967182372	0.957798217648885	0.338164518136049	0.886962864388642
1810013L24Rik	187.706747043601	0.0480386885669452	0.0858752731498585	0.559400707618295	0.575888278559883	0.940082758185156
1810022K09Rik	131.496915411478	0.0612786294455262	0.107577157799288	0.569624915726597	0.568932125676996	0.940082758185156
1810030O07Rik	63.9437997972996	0.117521292808231	0.142096310156752	0.82705379667205	0.408206570421568	0.911394825061304
1810032O08Rik	55.5521326779613	0.222097995871042	0.15144927727829	1.46648435609854	0.142516380011372	0.784251112912568
1810043G02Rik	39.2058149791365	0.154503791941297	0.185328136625548	0.833676929766303	0.404463061833924	0.911394825061304
1810055G02Rik	116.889570092157	-0.101707717891758	0.119410243770176	-0.851750358097512	0.394352664115592	0.911394825061304
1810058I24Rik	27.1065088105549	0.154556932935688	0.220394892159806	0.701272753742501	0.483132813905422	0.923192485921911
2010111I01Rik	119.816117893131	-0.279903099764357	0.127594566315573	-2.19369137610521	0.0282576042314645	0.522089248866219
2200002D01Rik	31.7228957355005	0.261364885069735	0.21539419159165	1.21342587345734	0.224967039130356	0.836715472135459
2210016L21Rik	98.3028923995096	-0.113396859649688	0.119568248560367	-0.948386055788352	0.342932955557396	0.886962864388642
2210418O10Rik	51.4369386741687	-0.0894654114450557	0.15408661442966	-0.580617672574644	0.561498158818262	0.937976536485973
2310009B15Rik	46.9220654411885	-0.1834556763445	0.177827556299234	-1.0316493133145	0.302236430113991	0.87135697737762
2310011J03Rik	34.512823669132	0.171815786149775	0.201052334489156	0.854582398092184	0.392782375521738	0.911394825061304
2310022A10Rik	46.2015395410927	0.29895629420024	0.17420618381965	1.71610609707024	0.0861426255170858	0.717725215246418
2310022B05Rik	104.549898988261	-0.0770731978993002	0.117428899658383	-0.656339266769226	0.511605857875655	0.927046223889257
2310033P09Rik	42.4945504813284	-0.0820805512841086	0.176533415032479	-0.464957590431291	0.641961827345672	0.950203947614338
2310057M21Rik	45.5763252929418	-0.138971790905153	0.15748330065783	-0.882454141643263	0.377531268346248	0.908937840378645
2310061I04Rik	27.0535121285844	-0.256143055615935	0.213733074377076	-1.19842498107727	0.230751612033992	0.836715472135459
2410002F23Rik	85.8007124194575	0.145521282811825	0.133895797576708	1.08682487012676	0.277114214367491	0.86865231958796
2410004B18Rik	41.1349823364766	-0.250241988773449	0.19849064465098	-1.26072434906676	0.207408178104813	0.829578948697726
2410015M20Rik	58.5173144662807	0.0230325226823297	0.143795512829976	0.160175531412885	0.872742803619527	0.985080790465492
2410131K14Rik	69.1879319316539	-0.0227493583749024	0.136221352346021	-0.167002881582881	0.867367781593105	0.985080790465492
2510009E07Rik	48.4069735587304	-0.318400835751128	0.16417665691161	-1.93937945710851	0.052455150075739	0.632685301751511
2510039O18Rik	72.0651644087425	-0.231361392292804	0.140592893133184	-1.64561228620308	0.0998436079993122	0.726410613885476
2610001J05Rik	55.5432259625303	0.199207596977782	0.179688291295096	1.10862870108009	0.267590391345678	0.861637069224933
2610002M06Rik	37.6272442487693	-0.090120535092563	0.188114373751176	-0.479073094179225	0.631886629919599	0.949053721859985
2610008E11Rik	103.931361927068	-0.227627067642248	0.109995516442342	-2.06942132738261	0.0385065668745698	0.575959692398712
2610021A01Rik	31.9094065374341	0.0112508603312357	0.204738808667776	0.0549522604163052	0.956176496952438	0.996318234825074
2610044O15Rik8	48.2681923489266	-0.040022951949281	0.152142997349161	-0.263061413582055	0.792503244251813	0.977390551446181
2610301B20Rik	25.9936376730513	-0.209714254860856	0.230695114837968	-0.909053730973679	0.363321764287209	0.897551718001828
2610507B11Rik	552.081433607526	-0.160389095798301	0.0614788096054534	-2.60885168121527	0.00908466086725161	0.342029880387344
2700081O15Rik	71.3862775362645	-0.115063228636388	0.134027120367315	-0.858507056788548	0.390612535520931	0.911394825061304
2810004N23Rik	109.319567766939	0.0303430011911835	0.143193904560171	0.211901486200714	0.83218389110482	0.982764948197744
2900026A02Rik	94.7520842406687	0.119248564742207	0.113385506773378	1.05170905996431	0.292933053018444	0.87135697737762
2900097C17Rik	489.355097532527	-0.0198143971026973	0.0647173677791573	-0.306168155205451	0.759476617352383	0.971392190085187
3110082I17Rik	37.8347497401401	0.270482501080581	0.193343805797266	1.39897164000278	0.16182148766852	0.803826422432107
3830403N18Rik	94.5026488354564	0.0891252866020802	0.122322372605267	0.728609858555364	0.466240346287105	0.923192485921911
4632404H12Rik	29.1144247071964	0.068544057741534	0.220172624957659	0.311319619115754	0.755557653945529	0.969929742967826
4632415L05Rik	35.8559105662241	-0.0550478855945328	0.205223641885193	-0.268233645445821	0.788519478276473	0.975734949762948
4833420G17Rik	30.8295170512944	-0.124191171954098	0.224819643406424	-0.552403562572991	0.580671890327298	0.940082758185156
4833439L19Rik	148.631211645322	0.0334675946532014	0.110510247432559	0.302846074737329	0.762007168622445	0.972160370825771
4921524J17Rik	86.6548603850265	0.0937021988210697	0.138685230937514	0.675646557226328	0.499265074569005	0.927046223889257
4930402H24Rik	98.5421769327448	0.0910762808944771	0.114145367894599	0.797897300384336	0.424930090137219	0.912736289023624
4930453N24Rik	67.2649089251387	0.0435571801015293	0.149449837002858	0.291450167996479	0.770707050463892	0.973358597222312
4930503L19Rik	54.8482111691094	0.0839821086430358	0.146737031674446	0.572330704013151	0.567097952307381	0.93945981701311
4930533N22Rik	37.2140129989199	0.774226612361702	0.193335314246961	4.00457937742676	6.21279274831441e-05	0.0130862629693764
4930572G02Rik	28.9187981549871	-0.0138218624814415	0.246225188665132	-0.0561350467690751	0.955234224660225	0.996318234825074
4931406C07Rik	41.5921368375233	-0.0697245215874859	0.177591036657348	-0.392612841840748	0.694605453267732	0.962702728106927
4931406P16Rik	148.638759200491	-0.123235416736675	0.096646286874735	-1.27511796595355	0.202267491258663	0.829226712279958
4932438A13Rik	322.357193822218	-0.0482623552057458	0.088381812546812	-0.546066592379324	0.585020162917383	0.940278697509462
4933404O12Rik	31.673794264131	-0.177541478618035	0.242706696526832	-0.731506304352866	0.464469955189572	0.923192485921911
4933427D14Rik	47.7967686986258	-0.053418841585971	0.164338506652203	-0.325053711842617	0.745140420795349	0.966947058450583
4933434E20Rik	137.097213884832	0.128710133677802	0.105761928687695	1.2169798270025	0.223611891266303	0.836715472135459
5031425E22Rik	41.6938656815619	0.0154321042424369	0.180940287937199	0.0852883811470065	0.932032128377111	0.994857148603562
5031439G07Rik	423.754734384198	0.28766722669866	0.0785274969256435	3.66326749178122	0.00024901825344816	0.034685832851263
5430416N02Rik	104.594478287281	0.10686590684405	0.121028633617237	0.88298036299428	0.377246881423584	0.908687035715833
5730455P16Rik	80.918665977408	-0.362494581315414	0.127482712018317	-2.84348030863454	0.00446237667093586	0.254955654411352
5730480H06Rik	30.9950220845682	0.0179475315275959	0.20627414479547	0.0870081490115579	0.930665034700563	0.994090691363521
5930430L01Rik	51.5457241202659	0.128171288206805	0.168152098387751	0.762234247658616	0.445920209264519	0.92276762925555
6030458C11Rik	122.091778467291	0.113514234180564	0.111249498071639	1.02035727035341	0.307559051186102	0.873698948484164
6430548M08Rik	103.432797570645	-0.0800366755526139	0.127006544510543	-0.630177569676106	0.528578412936519	0.929343436036533
6720427I07Rik	38.9345948211807	0.0804718015065206	0.187118390543092	0.430058217543232	0.6671532926965	0.957628797688276
8030462N17Rik	74.1925406940036	-0.0668361675323416	0.133176158305241	-0.50186285880955	0.615763992905584	0.94629337774775
9030025P20Rik	43.0472648904744	-0.0621451712020047	0.192607401100917	-0.322652041649447	0.746958776254044	0.968045260006333
9130401M01Rik	129.564112282968	0.132143968095762	0.11544039356449	1.1446943657719	0.252335786200394	0.851112573497295
9530068E07Rik	302.085980334908	0.00760350291331117	0.082674168154674	0.0919695121586936	0.926722262675576	0.99393105967945
9930021J03Rik	120.998500568323	-0.165030977067912	0.109797402749088	-1.50304991680946	0.132826172378926	0.766257063904079
9930111J21Rik2	39.4628752317923	-0.186393084725893	0.204042793633388	-0.913499964428016	0.360979652292589	0.897551718001828
A230050P20Rik	66.4320330331651	-0.128114601294468	0.139151211102993	-0.920686210913709	0.357214277403053	0.894576991062798
A430005L14Rik	33.6008761135571	0.118312024854008	0.231065119918737	0.512028924554329	0.608630766342863	0.946111536507218
A630089N07Rik	34.8044180681827	-0.223092060578363	0.210950187463574	-1.05755801054638	0.290256994210763	0.87135697737762
AA467197	84.0212866820718	0.17442649631095	0.129490110978562	1.34702561448749	0.177971983244391	0.810636100895865
Aaas	93.6766175505237	0.223438746945657	0.16454966038937	1.35788032875266	0.174501660228783	0.807887000486506
Aacs	177.574297352487	0.241437211033616	0.0894224369664709	2.69996232739825	0.00693473281346878	0.32587380251318
Aaed1	271.614616483128	-0.0124161351724965	0.0854914892282958	-0.145232411840909	0.884527376268364	0.985080790465492
Aagab	46.8040474562814	-0.0296310600710449	0.168867279759697	-0.17546951732278	0.860710720813953	0.985080790465492
Aak1	185.150136737317	-0.042952376393539	0.0887880162541807	-0.483763217218141	0.628553922410821	0.949053721859985
Aamp	305.633098557938	0.163305491835302	0.101119619224138	1.61497336608165	0.106316462743702	0.739784059366357
Aar2	52.4352165922312	-0.0480146443903483	0.174494992115773	-0.275163452017532	0.783190664568578	0.973661534689394
Aars	1510.16893297545	0.0756158582840628	0.0500629862219785	1.51041445967253	0.130937701290977	0.764272303032983
Aars2	29.6473502930793	-0.321140840711519	0.203364886474315	-1.57913613445789	0.114304835027246	0.746343559740916
Aarsd1	35.357028541155	0.01298001793124	0.1995454278443	0.0650479345553735	0.948135834783968	0.996318234825074
Aasdhppt	31.1189207872181	-0.000306673946459112	0.206737140766823	-0.00148340034752153	0.998816418199297	0.999999320829799
Aatf	232.187311948906	0.0577993486825926	0.105035879195128	0.550281952467091	0.582126000841177	0.940082758185156
Abca2	82.0591736915388	-0.118542871578175	0.127420865611905	-0.930325429896463	0.352202615049359	0.891068512579016
Abca3	45.3907983784615	-0.079730647190575	0.181069150886352	-0.44033258454179	0.659696244021821	0.955478413064901
Abca5	57.8458312746945	-0.0362067803264711	0.158854329421811	-0.227924416402465	0.819705000710403	0.979244566227489
Abca7	90.5871025543781	-0.105883260075458	0.122325541743853	-0.865585866745437	0.386717308868296	0.911394825061304
Abca8b	194.794621903101	0.149541093767956	0.102334266154599	1.46130029937422	0.143933047755468	0.784251112912568
Abcb1a	62.9313670861361	-0.209140795397829	0.152466005673556	-1.37172082703878	0.170150362291377	0.806301717732888
Abcb1b	129.658981559988	-0.13873231607725	0.122089127841827	-1.13631998630529	0.255822669145933	0.851847048567442
Abcb6	111.116648552136	0.309233981643066	0.112279377299102	2.75414763674094	0.00588452166350274	0.300702538970471
Abcb7	65.3180429094057	-0.104767805625754	0.159193490176243	-0.658116142247811	0.510463504021971	0.927046223889257
Abcc1	951.381516890364	0.00394142503402704	0.0577324448425606	0.0682705373863087	0.945570277152153	0.996043781894586
Abcc4	562.20792494495	0.00743329900550095	0.056926533783184	0.130577052764395	0.896109896518861	0.986840737864943
Abcc5	432.050393561233	0.210759735928178	0.0647633135763827	3.25430748196053	0.00113669174875004	0.0971927717050035
Abcd3	134.825646174672	0.0679152541262342	0.0947320370370681	0.716919600279041	0.473423707217489	0.923192485921911
Abcd4	38.7666421885352	-0.0905812809134876	0.179035431578997	-0.505940528724448	0.612898399652244	0.94629337774775
Abce1	564.675847594412	0.0168463853770186	0.0557228633113494	0.302324474657558	0.762404722663174	0.972160370825771
Abcf1	524.943370755191	0.0472597860616981	0.121726538812755	0.38824554220173	0.697834333446753	0.963146508043426
Abcf2	379.345647599135	-0.042415921594492	0.0659786115556143	-0.642873813110465	0.520305982668387	0.929343436036533
Abcf3	71.0884061770312	-0.174010177496613	0.140875794934472	-1.23520280810166	0.216755034448828	0.836480231143444
Abhd12	149.096128561572	-0.0394130620471427	0.108485081534424	-0.363303981429338	0.716377819498538	0.96528034744805
Abhd13	61.3039294952196	0.0242711270452502	0.162566336204484	0.149299834221033	0.881317046079382	0.985080790465492
Abhd16a	64.5971677848837	0.00869922023344252	0.141442219020648	0.0615037030221689	0.950958065406238	0.996318234825074
Abhd17a	61.2282507297375	-0.176128422252924	0.143180044655874	-1.23011850342861	0.218652732007423	0.836487500707875
Abhd17b	47.4824470777833	0.0531220548544794	0.177788128059332	0.298794162660576	0.765097105122928	0.972230056250729
Abhd17c	47.3033809870299	-0.0625663040385378	0.161757994245447	-0.386789563819648	0.698912003925633	0.963146508043426
Abhd2	199.110997765775	-0.0348956136798223	0.104408955899371	-0.334220502247475	0.738213174113771	0.966183151088077
Abhd4	281.962334508743	0.324414258641756	0.0790740566975796	4.10266365721548	4.0842076644174e-05	0.00979756038608575
Abhd5	99.1874676663211	0.0765109505053382	0.11930819852047	0.641288289104551	0.521335396457553	0.929343436036533
