ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
mmu04141	mmu04141	Protein processing in endoplasmic reticulum	144	0.396526492056887	1.83043667029378	0.00177619893428064	0.0702947845804989	0.0602034185994086	1543	tags=28%, list=18%, signal=23%	15505/15511/81489/193740/18415/14828/12955/15502/15519/17872/15516/56812/12028/56445/66105/17156/56085/77371/13198/18786/66435/12017/56228/18024/15481/56438/22213/21402/56550/67475/67819/269523/116891/193670/13135/140740/20335/19089/13002/66397
mmu03040	mmu03040	Spliceosome	123	0.452750018301843	2.04668862197408	0.0017921146953405	0.0702947845804989	0.0602034185994086	2215	tags=49%, list=26%, signal=37%	15511/193740/217207/20382/20637/66921/67229/74351/13207/108121/56070/76938/28035/231889/22185/20639/50783/68981/68879/20227/67039/331401/15382/69192/15481/13204/71713/67958/27756/68092/76936/225027/193116/68592/17149/101214/60365/69878/66055/76522/64340/56194/20222/66810/20641/68479/20826/72654/20383/27366/72047/108014/230596/192170/66618/78651/101943/229279/66492/107701
mmu04612	mmu04612	Antigen processing and presentation	34	0.563970134064659	1.97403768333444	0.00184162062615101	0.0702947845804989	0.0602034185994086	852	tags=29%, list=10%, signal=27%	15511/193740/14828/15519/15516/15525/19192/65972/13030/15481
mmu03008	mmu03008	Ribosome biogenesis in eukaryotes	62	0.525178647842997	2.09639789044532	0.00184842883548983	0.0702947845804989	0.0602034185994086	2000	tags=48%, list=23%, signal=37%	16418/103573/14791/67045/69237/30877/434234/195434/66711/19384/66181/102216272/71340/72554/13000/97112/105372/67973/55989/59028/67134/217109/27993/224092/68147/20826/217995/68272/67459/21771
mmu05134	mmu05134	Legionellosis	33	0.553642464362833	1.9311063380764	0.00185873605947955	0.0702947845804989	0.0602034185994086	1543	tags=39%, list=18%, signal=32%	15511/15510/193740/12367/19324/12747/15481/17874/67160/56422/269523/12371/66397
mmu03050	mmu03050	Proteasome	39	0.643118124179516	2.28147460545777	0.00189753320683112	0.0702947845804989	0.0602034185994086	2162	tags=67%, list=25%, signal=50%	59029/66413/19179/57296/26444/17463/19166/69077/19192/19173/19184/19177/70247/19170/56436/67089/20422/19167/26442/103554/19181/26445/21762/66997/66537/23996
mmu05146	mmu05146	Amoebiasis	47	-0.502554533294003	-1.92690397949139	0.00213219616204691	0.0702947845804989	0.0602034185994086	1012	tags=45%, list=12%, signal=40%	14683/20723/16177/18706/60595/18750/226519/16779/16773/12843/22330/16776/18709/16777/14268/18797/109711/12842/16775/12825
mmu04512	mmu04512	ECM-receptor interaction	37	-0.694050741658042	-2.48526488814274	0.00220264317180617	0.0702947845804989	0.0602034185994086	1251	tags=62%, list=15%, signal=53%	12834/16403/11603/226519/16779/16773/13138/21826/16400/319480/12843/16423/16776/12835/16777/21923/15530/14268/20750/21825/12842/16775
mmu04510	mmu04510	Focal adhesion	124	-0.465809878689038	-2.16160913905886	0.00226757369614512	0.0702947845804989	0.0602034185994086	1819	tags=44%, list=21%, signal=35%	67268/12929/13367/16001/110157/19047/11848/15234/13712/20663/22793/12833/18479/12834/16403/19353/11797/18706/107746/60595/18750/16202/23797/226519/21894/16779/16773/18481/12443/21826/16400/11461/319480/57342/12843/232906/22330/16776/18709/18596/12389/12835/22325/16777/21923/14268/20750/11465/21825/109711/12842/192176/16775
mmu00480	mmu00480	Glutathione metabolism	30	0.558644662971403	1.8838911504648	0.00380952380952381	0.0889668367346939	0.0761949516648765	1199	tags=47%, list=14%, signal=40%	14857/14860/14630/69065/14854/14629/110208/18263/14870/66988/14782/20603/15926/14858
mmu04725	mmu04725	Cholinergic synapse	47	-0.4505900330973	-1.7276607221179	0.00426439232409382	0.0889668367346939	0.0761949516648765	2715	tags=55%, list=32%, signal=38%	14701/14682/74769/11652/26395/26417/18795/14702/16653/11513/208647/18798/16438/16452/14697/231991/104111/18706/18750/26427/23797/16440/18709/14678/18797
mmu04611	mmu04611	Platelet activation	64	-0.410644462941616	-1.68217903299272	0.00431965442764579	0.0889668367346939	0.0761949516648765	1997	tags=45%, list=23%, signal=35%	18783/18795/70549/11513/67268/26416/19047/14062/54519/18798/11848/16438/14683/16801/104111/18706/23797/16440/21894/11461/12843/232906/18709/14678/11465/18797/12842/12825
mmu04928	mmu04928	Parathyroid hormone synthesis, secretion and action	63	-0.41516610636022	-1.69397541919673	0.00431965442764579	0.0889668367346939	0.0761949516648765	1997	tags=43%, list=23%, signal=33%	17938/18795/22337/11513/208647/75547/110157/18798/11848/16438/14683/11836/231991/16801/104111/18750/26427/16440/213498/14673/18578/20181/14678/17387/18805/18797
mmu04810	mmu04810	Regulation of actin cytoskeleton	129	-0.317509050829976	-1.48927383963265	0.00446428571428571	0.0889668367346939	0.0761949516648765	1809	tags=33%, list=21%, signal=26%	12929/13367/21844/110157/19047/14062/11848/11836/17532/30938/20663/16801/14163/18479/20430/19241/16403/19353/77579/78134/18706/60595/11867/29875/17886/18481/14673/16400/11461/319480/232906/237860/56419/22330/18709/18596/22325/219140/14268/11465/109711
mmu04010	mmu04010	MAPK signaling pathway	170	0.311992195430655	1.4598458450453	0.00530035335689046	0.0985865724381626	0.0844336990887112	1114	tags=19%, list=13%, signal=17%	15511/193740/16476/11839/15507/286940/319520/22339/21803/240672/12367/66922/17311/18049/13198/266632/330177/19252/23882/56692/12675/14183/70686/17165/15481/13197/17874/56636/68794/18018/15461/216869
