baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
4930533N22Rik	37.2140129989199	0.774226612361702	0.193335314246961	4.00457937742676	6.21279274831441e-05	0.0130862629693764
5031439G07Rik	423.754734384198	0.28766722669866	0.0785274969256435	3.66326749178122	0.00024901825344816	0.034685832851263
Abhd4	281.962334508743	0.324414258641756	0.0790740566975796	4.10266365721548	4.0842076644174e-05	0.00979756038608575
Acta2	973.664625436813	-0.283476801714377	0.0736780585198123	-3.84750640026908	0.000119326160888967	0.0202058965771985
Ahsa2	163.788864297953	0.384067705449105	0.0958223660900045	4.00812170603632	6.12035790866783e-05	0.0130862629693764
Areg	41.2871190897894	0.751635769039146	0.182287975915474	4.12334255874165	3.73413724489388e-05	0.00948470860203046
Atf3	507.741822120773	0.512156379319466	0.111396313910903	4.59760616252618	4.27372875946573e-06	0.00194252218772348
Avl9	135.000402827826	0.430532791637627	0.106316531216938	4.04953760915251	5.13189303640222e-05	0.0113638534006076
Azin1	403.644582430392	0.344652814393473	0.0662072951480708	5.20566221022421	1.93306002108618e-07	0.000154054450983904
Bag3	548.032687525477	0.440654991847746	0.0831682184739015	5.29835795371792	1.16848725950657e-07	0.000126138199663734
Cacybp	471.925146126615	0.365292320851986	0.0859048044364952	4.2522920952812	2.11593624380211e-05	0.00630111220740519
Cct7	876.133461077047	0.187834866534616	0.0487084375137369	3.85631065421965	0.0001151111845665	0.0202058965771985
Chka	432.132639555775	0.263841732447179	0.0678995305882843	3.88576666379345	0.000102007450395926	0.0187433264174301
Clba1	133.694905762414	0.416302387715876	0.112186578131971	3.71080386484521	0.000206602135547626	0.0302409498743949
Col3a1	1832.89512272376	-0.294934876717243	0.0514252459892906	-5.7352156716696	9.73883400315794e-09	1.40174284085453e-05
Cryab	157.194553379295	0.566632600274065	0.149197960289186	3.79785755231358	0.000145952154995458	0.023781939821524
Cxcl5	108.013573557042	-0.456229480144717	0.121841251942775	-3.74445824275504	0.000180783439420007	0.0289119589413182
Dcbld2	456.567146860848	0.231422872225261	0.0571114300575322	4.05212882941529	5.0753703296527e-05	0.0113638534006076
