ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
mmu04141	mmu04141	Protein processing in endoplasmic reticulum	144	0.396526492056887	1.82706793668316	0.00174520069808028	0.0693512304250559	0.0607035859596792	1543	tags=28%, list=18%, signal=23%	15505/15511/81489/193740/18415/14828/12955/15502/15519/17872/15516/56812/12028/56445/66105/17156/56085/77371/13198/18786/66435/12017/56228/18024/15481/56438/22213/21402/56550/67475/67819/269523/116891/193670/13135/140740/20335/19089/13002/66397
mmu03008	mmu03008	Ribosome biogenesis in eukaryotes	62	0.525178647842997	2.08010310345282	0.00179533213644524	0.0693512304250559	0.0607035859596792	2000	tags=48%, list=23%, signal=37%	16418/103573/14791/67045/69237/30877/434234/195434/66711/19384/66181/102216272/71340/72554/13000/97112/105372/67973/55989/59028/67134/217109/27993/224092/68147/20826/217995/68272/67459/21771
mmu03040	mmu03040	Spliceosome	123	0.452750018301843	2.02168547740521	0.00182149362477231	0.0693512304250559	0.0607035859596792	2215	tags=49%, list=26%, signal=37%	15511/193740/217207/20382/20637/66921/67229/74351/13207/108121/56070/76938/28035/231889/22185/20639/50783/68981/68879/20227/67039/331401/15382/69192/15481/13204/71713/67958/27756/68092/76936/225027/193116/68592/17149/101214/60365/69878/66055/76522/64340/56194/20222/66810/20641/68479/20826/72654/20383/27366/72047/108014/230596/192170/66618/78651/101943/229279/66492/107701
mmu03050	mmu03050	Proteasome	39	0.643118124179516	2.28375991408925	0.00186915887850467	0.0693512304250559	0.0607035859596792	2162	tags=67%, list=25%, signal=50%	59029/66413/19179/57296/26444/17463/19166/69077/19192/19173/19184/19177/70247/19170/56436/67089/20422/19167/26442/103554/19181/26445/21762/66997/66537/23996
mmu05134	mmu05134	Legionellosis	33	0.553642464362833	1.90046718669395	0.0018796992481203	0.0693512304250559	0.0607035859596792	1543	tags=39%, list=18%, signal=32%	15511/15510/193740/12367/19324/12747/15481/17874/67160/56422/269523/12371/66397
mmu04612	mmu04612	Antigen processing and presentation	34	0.563970134064659	1.94338415281887	0.00189035916824197	0.0693512304250559	0.0607035859596792	852	tags=29%, list=10%, signal=27%	15511/193740/14828/15519/15516/15525/19192/65972/13030/15481
mmu04512	mmu04512	ECM-receptor interaction	37	-0.694050741658042	-2.50878462469889	0.0021505376344086	0.0693512304250559	0.0607035859596792	1251	tags=62%, list=15%, signal=53%	12834/16403/11603/226519/16779/16773/13138/21826/16400/319480/12843/16423/16776/12835/16777/21923/15530/14268/20750/21825/12842/16775
mmu05146	mmu05146	Amoebiasis	47	-0.502554533294003	-1.93084180238986	0.00215982721382289	0.0693512304250559	0.0607035859596792	1012	tags=45%, list=12%, signal=40%	14683/20723/16177/18706/60595/18750/226519/16779/16773/12843/22330/16776/18709/16777/14268/18797/109711/12842/16775/12825
mmu04510	mmu04510	Focal adhesion	124	-0.465809878689038	-2.16547111065293	0.00223713646532438	0.0693512304250559	0.0607035859596792	1819	tags=44%, list=21%, signal=35%	67268/12929/13367/16001/110157/19047/11848/15234/13712/20663/22793/12833/18479/12834/16403/19353/11797/18706/107746/60595/18750/16202/23797/226519/21894/16779/16773/18481/12443/21826/16400/11461/319480/57342/12843/232906/22330/16776/18709/18596/12389/12835/22325/16777/21923/14268/20750/11465/21825/109711/12842/192176/16775
mmu04010	mmu04010	MAPK signaling pathway	170	0.311992195430655	1.47345304455807	0.00351493848857645	0.0847380410022779	0.0741717619789793	1114	tags=19%, list=13%, signal=17%	15511/193740/16476/11839/15507/286940/319520/22339/21803/240672/12367/66922/17311/18049/13198/266632/330177/19252/23882/56692/12675/14183/70686/17165/15481/13197/17874/56636/68794/18018/15461/216869
mmu04216	mmu04216	Ferroptosis	31	0.5184446440021	1.75401402180143	0.00373831775700935	0.0847380410022779	0.0741717619789793	347	tags=26%, list=4%, signal=25%	26570/15368/67443/14630/68428/14854/14629/17254
mmu00480	mmu00480	Glutathione metabolism	30	0.558644662971403	1.86999736863324	0.00384615384615385	0.0847380410022779	0.0741717619789793	1199	tags=47%, list=14%, signal=40%	14857/14860/14630/69065/14854/14629/110208/18263/14870/66988/14782/20603/15926/14858
mmu04725	mmu04725	Cholinergic synapse	47	-0.4505900330973	-1.73119137129646	0.00431965442764579	0.0847380410022779	0.0741717619789793	2715	tags=55%, list=32%, signal=38%	14701/14682/74769/11652/26395/26417/18795/14702/16653/11513/208647/18798/16438/16452/14697/231991/104111/18706/18750/26427/23797/16440/18709/14678/18797
mmu04928	mmu04928	Parathyroid hormone synthesis, secretion and action	63	-0.41516610636022	-1.70465944450287	0.0045045045045045	0.0847380410022779	0.0741717619789793	1997	tags=43%, list=23%, signal=33%	17938/18795/22337/11513/208647/75547/110157/18798/11848/16438/14683/11836/231991/16801/104111/18750/26427/16440/213498/14673/18578/20181/14678/17387/18805/18797
mmu04611	mmu04611	Platelet activation	64	-0.410644462941616	-1.68040352325785	0.00455580865603645	0.0847380410022779	0.0741717619789793	1997	tags=45%, list=23%, signal=35%	18783/18795/70549/11513/67268/26416/19047/14062/54519/18798/11848/16438/14683/16801/104111/18706/23797/16440/21894/11461/12843/232906/18709/14678/11465/18797/12842/12825
mmu00983	mmu00983	Drug metabolism - other enzymes	32	0.49447243695026	1.68314920631644	0.00557620817843866	0.0972351301115242	0.0851105458814322	1199	tags=31%, list=14%, signal=27%	14857/14860/18102/68556/18103/14870/22247/15452/171567/14858
mmu04670	mmu04670	Leukocyte transendothelial migration	47	-0.438150075030182	-1.68339637699299	0.00647948164146868	0.106339728115868	0.093079860112739	1809	tags=40%, list=21%, signal=32%	26416/11848/18803/18613/19353/22329/18706/60595/17390/18750/11461/232906/22330/18709/14678/22325/11465/109711
mmu04710	mmu04710	Circadian rhythm	24	0.53848394368884	1.7072551371169	0.00749063670411985	0.116104868913858	0.101627351775193	1174	tags=29%, list=14%, signal=25%	12953/20893/12952/105787/56438/21402/79362
mmu05020	mmu05020	Prion diseases	18	0.585289422508629	1.72889682414031	0.00952380952380952	0.13743842364532	0.120300751879699	134	tags=22%, list=2%, signal=22%	20867/193740/14828/12028
mmu04664	mmu04664	Fc epsilon RI signaling pathway	33	-0.458485951477818	-1.61810978669974	0.0106382978723404	0.13743842364532	0.120300751879699	2395	tags=55%, list=28%, signal=39%	14784/11652/26395/26398/26417/18783/16653/26416/110157/18803/20663/19353/18706/18750/23797/18709/22325
mmu04360	mmu04360	Axon guidance	95	-0.35536162349559	-1.56401162147918	0.0114155251141553	0.13743842364532	0.120300751879699	2118	tags=41%, list=25%, signal=31%	17974/12631/26417/16653/67268/228026/110157/93742/73181/11848/18803/13636/20187/140570/20349/259302/13846/18479/20356/19057/19353/20347/18706/20346/20353/244058/18750/16202/14270/319757/107449/18481/18846/18208/237860/18709/14678/226251
mmu05323	mmu05323	Rheumatoid arthritis	28	0.496977484545788	1.63736547035242	0.0114285714285714	0.13743842364532	0.120300751879699	1678	tags=50%, list=20%, signal=40%	16476/22339/21803/108664/73834/11984/66335/66144/54411/114143/13039/11974/27060/21871
mmu04974	mmu04974	Protein digestion and absorption	21	-0.524548943261308	-1.69345363644088	0.0126849894291755	0.13743842364532	0.120300751879699	319	tags=33%, list=4%, signal=32%	12834/12843/12835/12816/12842/12825
mmu04657	mmu04657	IL-17 signaling pathway	47	0.418656757002444	1.53261573309848	0.012987012987013	0.13743842364532	0.120300751879699	618	tags=19%, list=7%, signal=18%	19225/16476/14283/15519/15516/56480/12367/12675/50772
mmu05144	mmu05144	Malaria	17	-0.539911869061458	-1.60820815341866	0.0130718954248366	0.13743842364532	0.120300751879699	1494	tags=53%, list=18%, signal=44%	20296/15234/18613/22329/21826/15529/16971/21825
