Pathnames	signed_enrichment	minusLog10Pval
1	Proteasome	2.28375991408925	1.15894582867144
2	Ribosome biogenesis in eukaryotes	2.08010310345282	1.15894582867144
3	Spliceosome	2.02168547740521	1.15894582867144
4	Antigen processing and presentation	1.94338415281887	1.15894582867144
5	Legionellosis	1.90046718669395	1.15894582867144
6	Glutathione metabolism	1.86999736863324	1.07192157984771
7	Protein processing in endoplasmic reticulum	1.82706793668316	1.15894582867144
8	Ferroptosis	1.75401402180143	1.07192157984771
9	Prion diseases	1.72889682414031	0.861891834323624
10	Circadian rhythm	1.7072551371169	0.935149567156248
11	Drug metabolism - other enzymes	1.68314920631644	1.01217679988241
12	Rheumatoid arthritis	1.63736547035242	0.861891834323624
13	IL-17 signaling pathway	1.53261573309848	0.861891834323624
14	MAPK signaling pathway	1.47345304455807	1.07192157984771
