Pathnames	signed_enrichment	minusLog10Pval
1	extracellular matrix organization	2.18042987503679	1.64577693831895
2	extracellular structure organization	2.13014532966851	1.64577693831895
3	cellular respiration	1.98098350065054	1.64577693831895
4	protein folding	1.97240352056104	1.64577693831895
5	leukocyte migration	1.96504036968244	1.64577693831895
6	tumor necrosis factor superfamily cytokine production	1.95568462237683	1.64577693831895
7	cytokine-mediated signaling pathway	1.94866539482829	1.64577693831895
8	tumor necrosis factor production	1.94840902906683	1.64577693831895
9	regulation of tumor necrosis factor superfamily cytokine production	1.94188555539422	1.64577693831895
10	regulation of tumor necrosis factor production	1.91920667431205	1.64577693831895
11	reactive oxygen species metabolic process	1.88859191559803	1.64577693831895
12	energy derivation by oxidation of organic compounds	1.8853579335152	1.64577693831895
13	regulation of reactive oxygen species metabolic process	1.87436486935185	1.64577693831895
14	regulation of lipid localization	1.85234645006196	1.64577693831895
15	myeloid leukocyte differentiation	1.84162362725224	1.64577693831895
16	positive regulation of small molecule metabolic process	1.84159034802166	1.64577693831895
17	cellular response to tumor necrosis factor	1.83637490617345	1.64577693831895
18	leukocyte chemotaxis	1.82181825859068	1.64577693831895
19	angiogenesis	1.82132028482563	1.64577693831895
20	generation of precursor metabolites and energy	1.806860938154	1.64577693831895
21	regulation of leukocyte migration	1.80598817689427	1.64577693831895
22	cellular response to acid chemical	1.78446395901738	1.64577693831895
23	fat cell differentiation	1.77594291190747	1.64577693831895
24	negative regulation of cellular response to growth factor stimulus	1.7708389356679	1.64577693831895
25	positive regulation of ERK1 and ERK2 cascade	1.77015347168648	1.64577693831895
26	blood coagulation	1.75128401604787	1.64577693831895
27	positive regulation of cell motility	1.75035764743139	1.64577693831895
28	carboxylic acid biosynthetic process	1.74726062868026	1.64577693831895
29	organic acid biosynthetic process	1.74489245068735	1.64577693831895
30	pyridine nucleotide metabolic process	1.73551948169514	1.64577693831895
31	regulation of ERK1 and ERK2 cascade	1.73502227687585	1.64577693831895
32	oxidoreduction coenzyme metabolic process	1.73452741699158	1.64577693831895
33	ERK1 and ERK2 cascade	1.73333184994037	1.64577693831895
34	neurotransmitter metabolic process	1.73297131411198	1.64577693831895
35	inflammatory response	1.73294216774751	1.64577693831895
36	response to tumor necrosis factor	1.73266661829572	1.64577693831895
37	hemostasis	1.72945588544734	1.64577693831895
38	regulation of fat cell differentiation	1.72325657619388	1.64577693831895
39	response to bacterium	1.72227405102276	1.64577693831895
40	positive regulation of leukocyte migration	1.7211895023798	1.64577693831895
41	response to wounding	1.71849815590487	1.64577693831895
42	regulation of tube size	1.7179265864146	1.64577693831895
43	regulation of blood vessel size	1.7179265864146	1.64577693831895
44	nucleotide biosynthetic process	1.71758227766575	1.64577693831895
45	positive regulation of locomotion	1.71700235837987	1.64577693831895
46	positive regulation of cell migration	1.70832324686278	1.64577693831895
47	positive regulation of cellular component movement	1.70002717253895	1.64577693831895
48	cell chemotaxis	1.69994006458448	1.64577693831895
49	ribose phosphate biosynthetic process	1.6986386015549	1.64577693831895
50	regulation of tube diameter	1.69169952014183	1.64577693831895
51	regulation of blood vessel diameter	1.69169952014183	1.64577693831895
52	nicotinamide nucleotide metabolic process	1.69118629602623	1.53799389513916
53	endothelial cell proliferation	1.68976786595549	1.5650603382008
54	phagocytosis	1.68956694756778	1.64577693831895
55	regulation of lipid biosynthetic process	1.68462226490874	1.53799389513916
56	wound healing	1.68000705780614	1.5650603382008
57	carbohydrate catabolic process	1.67418518101909	1.5650603382008
58	drug metabolic process	1.67045487615118	1.64577693831895
59	protein import	1.6639716401071	1.5650603382008
60	regulation of endothelial cell proliferation	1.66098650019805	1.64577693831895
61	negative regulation of cell development	1.65917399159147	1.64577693831895
62	myeloid leukocyte migration	1.65848605164356	1.53799389513916
63	pyridine-containing compound metabolic process	1.65794743610926	1.53799389513916
64	regulation of protein kinase B signaling	1.65616665829304	1.53799389513916
65	monocarboxylic acid biosynthetic process	1.65543852478967	1.5650603382008
66	positive regulation of lipid metabolic process	1.65403946672035	1.5650603382008
67	hexose metabolic process	1.65330563179855	1.5650603382008
68	negative regulation of defense response	1.64756048836147	1.64577693831895
69	nucleoside phosphate biosynthetic process	1.64701975244509	1.5650603382008
70	purine ribonucleotide biosynthetic process	1.64696909287654	1.53799389513916
71	positive regulation of cell-substrate adhesion	1.64691906154136	1.5650603382008
72	vascular process in circulatory system	1.64257745170691	1.5650603382008
73	ribonucleotide biosynthetic process	1.6354079395721	1.5650603382008
74	organophosphate biosynthetic process	1.6327993464678	1.64577693831895
75	protein kinase B signaling	1.6320706565083	1.5650603382008
76	positive regulation of angiogenesis	1.63107943680226	1.53799389513916
77	regulation of inflammatory response	1.62801960870698	1.5650603382008
78	alpha-amino acid metabolic process	1.62718711396235	1.5650603382008
79	coagulation	1.62353392240836	1.53799389513916
80	bone development	1.62305886204768	1.53799389513916
81	response to acid chemical	1.61745763919341	1.5650603382008
82	positive regulation of chemotaxis	1.61257886684178	1.53799389513916
83	coenzyme metabolic process	1.61074233058962	1.5650603382008
84	coenzyme biosynthetic process	1.60876983188287	1.53799389513916
85	response to peptide	1.60793917181125	1.5650603382008
86	positive regulation of peptidyl-tyrosine phosphorylation	1.60672850094565	1.5650603382008
87	purine-containing compound biosynthetic process	1.60643095998997	1.5650603382008
88	mitochondrion organization	1.6052943881784	1.64577693831895
89	negative regulation of protein phosphorylation	1.60500477969512	1.64577693831895
90	regulation of peptidyl-tyrosine phosphorylation	1.60442670726216	1.5650603382008
91	purine nucleotide biosynthetic process	1.60399720720204	1.5650603382008
92	negative regulation of secretion	1.60003430600333	1.53799389513916
93	transmembrane receptor protein serine/threonine kinase signaling pathway	1.59884003213905	1.5650603382008
94	leukocyte differentiation	1.59874968639597	1.64577693831895
95	regulation of cell shape	1.59771775839048	1.53799389513916
96	negative regulation of response to external stimulus	1.59724954928252	1.5650603382008
97	cell-substrate adhesion	1.59688209901455	1.5650603382008
