Pathnames	signed_enrichment	minusLog10Pval
1	Carbon metabolism	2.03958944798186	1.56240949896179
2	Oxidative phosphorylation	2.03319916851868	1.56240949896179
3	Non-alcoholic fatty liver disease (NAFLD)	2.02733716151851	1.56240949896179
4	Biosynthesis of amino acids	1.99147349720497	1.56240949896179
5	Central carbon metabolism in cancer	1.98992301072501	1.56240949896179
6	Staphylococcus aureus infection	1.94909119542222	1.56240949896179
7	Parkinson disease	1.92051830455155	1.56240949896179
8	Huntington disease	1.90645093001774	1.56240949896179
9	AMPK signaling pathway	1.8733246813174	1.56240949896179
10	Phagosome	1.85335266929571	1.56240949896179
11	Citrate cycle (TCA cycle)	1.84953823614721	1.49300674930549
12	PI3K-Akt signaling pathway	1.82101526695023	1.56240949896179
13	Glycolysis / Gluconeogenesis	1.80935885859744	1.56240949896179
14	2-Oxocarboxylic acid metabolism	1.79935650227615	1.32174594829167
15	EGFR tyrosine kinase inhibitor resistance	1.78278394813065	1.56240949896179
16	Longevity regulating pathway	1.77426328858287	1.56240949896179
17	Influenza A	1.77000464545486	1.56240949896179
18	Protein digestion and absorption	1.76519870589833	1.56240949896179
19	Prostate cancer	1.74730538035065	1.56240949896179
20	Thermogenesis	1.72373665858634	1.56240949896179
21	Galactose metabolism	1.72094161671471	1.32174594829167
22	Alanine, aspartate and glutamate metabolism	1.70397792329738	1.2568780310341
23	AGE-RAGE signaling pathway in diabetic complications	1.69688137145892	1.56240949896179
24	Linoleic acid metabolism	1.67817237743282	1.02600154953931
25	Chemokine signaling pathway	1.67564972120883	1.49300674930549
26	Malaria	1.67283078983432	1.32174594829167
27	Arginine biosynthesis	1.65732865058534	0.994369394849489
28	Focal adhesion	1.65072767592975	1.49300674930549
29	TNF signaling pathway	1.64264413545272	1.49300674930549
30	Bladder cancer	1.62286422955067	1.22439593790215
31	ECM-receptor interaction	1.62179137369388	1.49300674930549
32	Glutathione metabolism	1.62084713966105	1.49300674930549
33	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	1.61509068638727	1.01065462708574
34	Epstein-Barr virus infection	1.61423023841656	1.39653740559116
35	Complement and coagulation cascades	1.60048281341931	1.39653740559116
36	JAK-STAT signaling pathway	1.59865525617064	1.56240949896179
37	Human papillomavirus infection	1.59614693862507	1.56240949896179
38	Gap junction	1.59419157966445	1.39653740559116
39	Apoptosis	1.59240019654422	1.49300674930549
40	Cysteine and methionine metabolism	1.58575306632628	1.22439593790215
41	Longevity regulating pathway - multiple species	1.58012646623378	1.32174594829167
42	Kaposi sarcoma-associated herpesvirus infection	1.57525372618823	1.39653740559116
43	Proteoglycans in cancer	1.56569948775568	1.39653740559116
44	Thyroid hormone synthesis	1.56427675260878	1.16258281213517
45	Insulin signaling pathway	1.56161245778515	1.49300674930549
46	Human T-cell leukemia virus 1 infection	1.56140169434492	1.39653740559116
47	Antigen processing and presentation	1.56120326835537	1.22439593790215
48	Mineral absorption	1.5539082887637	0.918170868718129
49	Arginine and proline metabolism	1.54526277640391	0.971624691995363
50	Small cell lung cancer	1.54211890205941	1.49300674930549
51	Relaxin signaling pathway	1.5402662723758	1.49300674930549
52	Insulin resistance	1.53921729733893	1.49300674930549
53	Melanoma	1.53228427825982	1.22439593790215
54	Measles	1.52506066183347	1.49300674930549
55	Acute myeloid leukemia	1.52425596695973	1.22439593790215
56	Platelet activation	1.51957057072343	1.39653740559116
57	Allograft rejection	1.5175737584335	0.838853420737931
58	Cytokine-cytokine receptor interaction	1.48698725152388	1.26091277166405
59	Alzheimer disease	1.48358102611863	1.32174594829167
60	Amoebiasis	1.47823062033701	1.01065462708574
61	Cell adhesion molecules (CAMs)	1.46386725298429	1.22439593790215
62	Chronic myeloid leukemia	1.46159277239781	0.95340817270753
63	Glioma	1.45541043194666	0.95340817270753
64	Tuberculosis	1.45242795193713	1.32174594829167
65	Adipocytokine signaling pathway	1.44462557319934	0.995003952077583
66	Hepatitis C	1.43222107946802	1.08637534093908
67	Endocrine resistance	1.43075731335002	0.95340817270753
68	Toxoplasmosis	1.42038475896525	0.946584965781219
69	Cellular senescence	1.39035102758678	1.04390139117137
70	Fluid shear stress and atherosclerosis	1.37118107774571	0.946798914493127
71	Pathways in cancer	1.36604825780926	1.49300674930549
72	Human cytomegalovirus infection	1.36321920857968	1.0008271148668
73	Estrogen signaling pathway	1.36090819074069	0.846110617649953
74	Hepatocellular carcinoma	1.33314727416339	0.892221953435354
